Entity,PDFpg,Review,Episose,EpisodeName,NamefromTranscript,Subject,Type,URI,Predicate2,Predicate2Name,Object2,Object2Name,Predicate3,Predicate3Name,Object3,Object3Name,Predicate4,Predicate4Name,Object4,Object4Name,Object5,Object5Name,Notes,
61,12,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,Einstein's brain,Albert Einstein's brain,http://purl.obolibrary.org/obo/OBI_0002516,https://www.wikidata.org/entity/Q2464312,http://sparql.cwrc.ca/ontologies/cwrc#studiedBy,studied by,https://www.wikidata.org/entity/Q1869196,Thomas Stoltz Harvey,,portait by,,,,,,,,,,
62,12,*URI question,https://www.wikidata.org/entity/Q77327190,Relative Genius,university of pennsylvania,,,,,dissects,,,,,,,,,,,,,,
63,13,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,Neurons,neuron,http://purl.org/biotop/biotop.owl#Cell,https://www.wikidata.org/entity/Q43054,,,,,,,,,,,,,,,,
64,15,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,science magazine,Science,http://www.eurocris.org/ontologies/cerif/1.3#Publication,https://www.wikidata.org/entity/Q192864,http://comicmeta.org/cbo/reprintedIn,reprinted,https://www.wikidata.org/entity/Q192864,Science,,,,,,,,,,,,
65,16,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,Marian Diamond,Marian Diamond,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q16875920,http://dbpedia.org/ontology/occupation,occupation,https://www.wikidata.org/entity/Q6337803,Professor of Anatomy,http://purl.org/vocab/relationship/employedBy,employed by,https://www.wikidata.org/entity/Q168756,University of Berkley,,,,,,,,
66,,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,study on rats,The effects of an enriched environment on the histology of the rat cerebral cortex,http://schema.org/ScholarlyArticle,https://doi.org/10.1002/cne.901230110,http://purl.org/dc/elements/1.1/creator,creator,https://www.wikidata.org/entity/Q16875920,Marian Diamond,http://purl.org/dc/terms/subject,subject,https://www.wikidata.org/entity/Q43054,neuron,,,,,,,,
67,,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,Einstein's brain,Albert Einstein's brain,http://purl.obolibrary.org/obo/OBI_0002516,https://www.wikidata.org/entity/Q2464312,http://sparql.cwrc.ca/ontologies/cwrc#studiedBy,studied by,https://www.wikidata.org/entity/Q16875920,Marian Diamond,http://sparql.cwrc.ca/ontologies/cwrc#studiedBy,studied by,https://www.wikidata.org/entity/Q60665706,Britt Anderson,http://sparql.cwrc.ca/ontologies/cwrc#studiedBy,studied by,https://www.wikidata.org/entity/Q22915124,Sandra Witelson,,,,
68,,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,she [Diamond] finds,On the brain of a scientist: Albert Einstein,http://schema.org/ScholarlyArticle,https://doi.org/10.1016/0014-4886(85)90123-2,http://purl.org/dc/elements/1.1/creator,creator,https://www.wikidata.org/entity/Q16875920,Marian Diamond,http://purl.org/dc/terms/subject,subject,https://www.wikidata.org/entity/Q2464312,Albert Einstein's brain,,,,,,,,
69,,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,Britt Anderson,Britt Anderson,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q60665706,,,,,,,,,,,,,,,,
70,,*URI question,https://www.wikidata.org/entity/Q77327199,Relative Genius,He [Anderson] studied 5 other adult male dead brains,,,,,,,,,,,,,,,,,,,
71,18,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,Sandra Witelson,Sandra Witelson,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q22915124,,,,,,,,,,,,,,,,
72,18,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,she [Witelson] writes this article,The exceptional brain of Albert Einstein,http://schema.org/ScholarlyArticle,https://doi.org/10.1016/S0140-6736(98)10327-6,http://purl.org/dc/terms/subject,subject,https://www.wikidata.org/entity/Q2464312,Albert Einstein's brain,http://purl.org/dc/terms/subject,subject,https://www.wikidata.org/entity/Q1256980,lateral sulcus,http://schema.org/contributor,contributor,https://www.wikidata.org/entity/Q1869196,Thomas Stoltz Harvey,,,,
73,18,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,Sylvian fissure,lateral sulcus,http://www.ontotext.com/proton/protonext#BodyPart,https://www.wikidata.org/entity/Q1256980,,,,,,,,,,,,,,,,
74,20,Complete,https://www.wikidata.org/entity/Q77327182,Relative Genius,Thomas Harvey,Thomas Stoltz Harvey,http://xmlns.com/foaf/0.1/Person,https://www.wikidata.org/entity/Q1869196,,,,,,,,,,,,,,,,
